v,FvK,sigma,log_likelihood
0.9559897122081651,97.4467857572924,0.07580574729357802,-2.5543950598928733
0.9455364443377476,120.24689905872243,0.04778751767105291,-1.5974089950575823
0.9431831866558984,131.95180136567907,0.03066782188047864,-0.8649282769270652
0.9458774603994564,118.42175606901942,0.031616409147866224,-0.7661412935992615
0.936855862925594,163.91049975339172,0.019847337310699376,-1.9578347317338602
0.9418771587476047,149.3918817213482,0.03038333130549782,-0.7303133010558636
0.9401199164797394,158.24128941982272,0.019517729137623237,-0.5806542259034897
0.9490329299784255,174.76178707021614,0.03125693421862274,-1.2528042348557458
0.9490329299784255,174.76178707021614,0.03125693421862274,-1.2528042348557458
0.9490329299784255,174.76178707021614,0.03125693421862274,-1.2528042348557458
0.9444890673309164,162.53164463231238,0.032587483068719635,-0.6117538714436721
0.9540519713045365,136.9181317968172,0.03378081067713021,-1.7883899425473166
0.950204696893502,140.0781241041659,0.017982040745988408,-0.9285559569102873
0.9439499216678268,182.68123471243962,0.013893164779815854,0.5733853760997185
0.9479568615789381,137.17722251299773,0.02511971602706216,-0.1048471678157652
0.9276927983417101,155.86237208785528,0.08200072472732675,-4.212910569285523
0.9376381810319386,189.07877045620023,0.42967149468279653,-8.400935086866486
0.9399337170592875,188.6153103622955,0.43598466336751013,-8.376679898717855
0.9400219903672781,191.94022344028423,0.4222476955941134,-8.301208612401368
0.935154825395524,198.29441092971683,0.4335028966751568,-8.561832619798665
0.9429360893488538,234.9269679081101,0.13461244501813638,-5.131411529570046
0.9524938917737141,435.8594079136894,0.12737021445621804,-6.238754577760431
0.9386447418737563,448.4563192853188,0.10295509408537967,-6.108704755482853
0.939284705719683,433.01301117708795,0.11822159956261752,-6.343598274947206
0.9428748087291431,427.96063356315705,0.12733252047609647,-6.392502104030485
0.9457529076566954,141.07815290440524,0.10970982900149792,-3.845699323517327
0.9421509734073952,160.17463534689102,0.10486343397455405,-3.8992198923969745
0.9548098030985389,99.97399884521221,0.10605292623040424,-3.4885848782026345
0.9451083772408371,114.72741141514906,0.11461656001057427,-3.981252035049427
0.9494459471676333,138.8830373726324,0.08243621994647363,-2.9445388710016895
0.9477351169951254,162.5088747929426,0.1062556003139735,-3.816897253080656
